Date,Open,High,Low,Close,Adj Close,Volume
2012-09-14,396.45001220703125,402.79998779296875,386.0,387.1499938964844,286.2044677734375,53936
2012-09-17,390.95001220703125,393.20001220703125,378.29998779296875,386.0,285.354248046875,87078
2012-09-18,384.1499938964844,388.0,369.45001220703125,377.3500061035156,278.95965576171875,231136
2012-09-20,380.29998779296875,394.3999938964844,376.0,389.70001220703125,288.089599609375,153192
2012-09-21,393.0,396.8999938964844,383.1000061035156,389.29998779296875,287.7938232421875,289994
2012-09-24,387.0,394.70001220703125,383.45001220703125,391.8999938964844,289.7159118652344,63182
2012-09-25,391.8999938964844,402.95001220703125,387.0,400.8500061035156,296.3323059082031,123557
2012-09-26,403.0,408.8999938964844,388.45001220703125,393.95001220703125,291.2314453125,168576
2012-09-27,394.0,397.0,389.0,392.54998779296875,290.1964111328125,216978
2012-09-28,393.20001220703125,405.0,393.20001220703125,402.3999938964844,297.4781494140625,131878
2012-10-01,408.5,417.75,400.0,413.70001220703125,305.831787109375,744567
2012-10-03,415.0,423.5,415.0,420.25,310.6739501953125,675965
2012-10-04,414.79998779296875,415.0,402.3999938964844,404.5,299.03057861328125,459944
2012-10-05,402.04998779296875,407.8999938964844,398.54998779296875,401.70001220703125,296.960693359375,137380
2012-10-08,402.0,409.5,402.0,404.79998779296875,299.25238037109375,176755
2012-10-09,409.45001220703125,415.95001220703125,405.0,413.6499938964844,305.7948303222656,251240
2012-10-10,414.0,417.79998779296875,406.1000061035156,409.1499938964844,302.4681396484375,164369
2012-10-11,411.6000061035156,413.5,405.0,409.6000061035156,302.80084228515625,95957
2012-10-12,430.0,430.0,402.8500061035156,405.1499938964844,299.5111389160156,56595
2012-10-15,399.3500061035156,408.1000061035156,392.0,394.04998779296875,291.3053283691406,65416
2012-10-16,392.75,405.0,392.75,401.54998779296875,296.8498229980469,158629
2012-10-17,402.3500061035156,414.0,400.0,405.8500061035156,300.0285949707031,1150148
